Trinity geneIDD	Automated name	Manually-curated name
c100_g1	c100-g1	NA
c100000_g1	c100000-g1 1-to-1 MOSPD2 motile sperm domain containing 2	NA
c100000_g2	c100000-g1 1-to-1 MOSPD2 motile sperm domain containing 2	NA
c100000_g3	c100000-g3 1-to-1 PARD3 par-3 family cell polarity regulator	NA
c100001_g1	c100001-g1 1-to-1 DDX46 DEAD-box helicase 46	NA
c100001_g2	c100001-g1 1-to-1 DDX46 DEAD-box helicase 46	NA
c100001_g3	c100001-g3	NA
c100002_g1	c100002-g1	NA
c100003_g1	c100003-g1	NA
c100003_g2	c100003-g2	NA
c100004_g1	c100004-g1 2-to-1 PRKG1 protein kinase, cGMP-dependent, type I	NA
c100005_g1	c100005-g1	NA
c100006_g1	c100006-g1 1-to-1 COG3 component of oligomeric golgi complex 3	NA
c100007_g1	c100007-g1 1-to-1 TEX9 testis expressed 9	NA
c100007_g2	c100007-g1 1-to-1 TEX9 testis expressed 9	NA
c100008_g1	c100008-g1 1-to-2 RPRD1B,RPRD1A regulation of nuclear pre-mRNA domain containing 1B	NA
c100009_g1	c100009-g1 1-to-2 DEGS2,DEGS1 delta 4-desaturase, sphingolipid 2	NA
c100010_g1	c100010-g1	NA
c100010_g2	c100010-g2	NA
c100010_g3	c100010-g3	NA
c100011_g1	c100011-g1	NA
c100011_g2	c100011-g2	NA
c100011_g3	c100011-g3	NA
c100012_g1	c100012-g1 1-to-1 LRP2 LDL receptor related protein 2	Lrp2 LDL receptor related protein 2
c100012_g2	c100012-g2 SSC4D (scavenger receptor cysteine rich family, 4 domains) - blastp	NA
c100012_g3	c100012-g3 (scavenger receptor cysteine rich domain containing) - emapper OG	NA
c100012_g4	c100012-g2 SSC4D (scavenger receptor cysteine rich family, 4 domains) - blastp	NA
c100013_g1	c100013-g1	NA
c100013_g2	c100013-g2	NA
c100014_g1	c100014-g1	NA
c100014_g2	c100014-g2	NA
c100014_g3	c100014-g3	NA
c100014_g4	c100014-g4	NA
c100014_g5	c100014-g5	NA
c100015_g1	c100015-g1 LDLRAP1 (low density lipoprotein receptor adaptor protein 1) - emapper OG	NA
c100016_g1	c100016-g1 1-to-2 MFSD14A,MFSD14B major facilitator superfamily domain containing 14A	NA
c100017_g1	c100017-g1	NA
c100018_g1	c100018-g1 1-to-1 UPB1 beta-ureidopropionase 1	NA
c100019_g1	c100019-g1 1-to-1 TADA2B transcriptional adaptor 2B	NA
c10002_g1	c10002-g1	NA
c100020_g1	c100020-g1	NA
c100021_g1	c100021-g1 1-to-1 SLC25A44 solute carrier family 25 member 44	NA
c100022_g1	c100022-g1	NA
c100023_g1	c100023-g1 (Spastic ataxia of Charlevoix-Saguenay (Sacsin)) - emapper OG	NA
c100024_g1	c100024-g1 (Pyruvate phosphate dikinase, PEP/pyruvate binding domain) - emapper OG	NA
c100025_g1	c100025-g1 1-to-1 BTAF1 B-TFIID TATA-box binding protein associated factor 1	NA
c100026_g1	c100026-g1 1-to-1 DNM1L dynamin 1 like	NA
c100026_g2	c100026-g1 1-to-1 DNM1L dynamin 1 like	NA
c100027_g1	c100027-g1 LOXL4 (scavenger receptor activity) - emapper OG	NA
c100027_g2	c100027-g2	NA
c100028_g1	c100028-g1	NA
c100029_g1	c100029-g1 (Inherit from KOG: F-box and leucine-rich repeat protein) - emapper OG	F-box and leucine-rich repeat protein
c100029_g2	c100029-g1 (Inherit from KOG: F-box and leucine-rich repeat protein) - emapper OG	F-box and leucine-rich repeat protein
c100030_g1	c100030-g1 2-to-3 MCOLN1,MCOLN3,MCOLN2 mucolipin 1	NA
c100030_g2	c100030-g1 2-to-3 MCOLN1,MCOLN3,MCOLN2 mucolipin 1	NA
